aspects,sentiments,snippets,target,sentence
Corporate/Appointment,-0.374,set to step down,Royal Mail,Royal Mail chairman Donald Brydon set to step down
Market/Volatility/Volatility,-0.827,down from record high,Weir,Slump in Weir leads FTSE down from record high
Corporate/Regulatory,0.549,FDA approval for key new lung cancer pill,AstraZeneca,AstraZeneca wins FDA approval for key new lung cancer pill
Corporate/Strategy,-0.266,cut 945 jobs as part of 3year restructuring plan,Lloyds,UPDATE 1-Lloyds to cut 945 jobs as part of 3-year restructuring plan
Corporate/Strategy,-0.461,Shifts EmergingMarkets Strategy,Standard Chartered,Standard Chartered Shifts Emerging-Markets Strategy After Losses
Corporate/Appointment,0.393,Tagrisso Gets FDA Approval,AstraZeneca,AstraZeneca's Lung Cancer Drug Tagrisso Gets FDA Approval
Stock/Price Action,0.526,share price rises as first half profi,Severn Trent,Severn Trent share price rises as first half profit inches up as customer ...
Corporate/Legal,0.037,as sole legal seller of Libyan oil,Glencore,Glencore sees Tripoli-based NOC as sole legal seller of Libyan oil
Corporate/Strategy/Reorganization,-0.532,as part of threeyear restructuring strategy,Lloyds,Lloyds to cut 945 jobs as part of three-year restructuring strategy
Corporate/M&A/M&A,0.593,to Buy ZS Pharma for 2.7 Billion,ZS Pharma,AstraZeneca to Buy ZS Pharma for $2.7 Billion
Corporate/Company Communication,0.166,in email says supports,Valeant,"Ackman, in email, says supports Valeant CEO Pearson"
Corporate/M&A/M&A,0.326,sells US drug rights to Perrigo for 380 mln,Perrigo,AstraZeneca sells US drug rights to Perrigo for $380 mln
Corporate/M&A/M&A,0.468,AstraZeneca buys ZS Pharma for 2.7 billion pips Actelion,ZS Pharma,"UPDATE 1-AstraZeneca buys ZS Pharma for $2.7 billion, pips Actelion"
Corporate/M&A/M&A,0.402,Shire to buy Dyax for about 5.9 bln,Shire,CORRECTED-Shire to buy Dyax for about $5.9 bln
Corporate/Appointment,0.077,poised to replace Sir Mike Rake as he heads for exit,Barclays,Barclays poised to replace Sir Mike Rake as he heads for exit
Corporate/M&A/M&A,0.52,AstraZeneca Acquires ZS Pharma in 2.7 Billion Deal,ZS Pharma,AstraZeneca Acquires ZS Pharma in $2.7 Billion Deal
Stock/Price Action/Bullish,0.64,shares climb 3 as drug maker ups profits forecasts,AstraZeneca,AstraZeneca shares climb 3% as drug maker ups profits forecasts
Corporate/Sales/Sales,0.551,Peroni and Grolsch put up for sale as ,SABMiller,Peroni and Grolsch put up for sale as AB InBev plans acquisition of SABMiller
Corporate/Risks,0.165,expects resilient demand to withstand security fears,easyJet,easyJet expects resilient demand to withstand security fears
