aspects,sentiments,snippets,target,sentence,combined,news
Corporate/Appointment,-0.374,set to step down,Royal Mail,Royal Mail chairman Donald Brydon set to step down,set to step down Royal Mail chairman Donald Brydon set to step down,set step royal mail chairman donald brydon set step 
Market/Volatility/Volatility,-0.827,down from record high,Weir,Slump in Weir leads FTSE down from record high,down from record high Slump in Weir leads FTSE down from record high,record high slump weir leads ftse record high
Corporate/Regulatory,0.549,FDA approval for key new lung cancer pill,AstraZeneca,AstraZeneca wins FDA approval for key new lung cancer pill,FDA approval for key new lung cancer pill AstraZeneca wins FDA approval for key new lung cancer pill,fda approval key new lung cancer pill astrazeneca wins fda approval key new lung cancer pill
Corporate/Strategy,-0.266,cut 945 jobs as part of 3year restructuring plan,Lloyds,UPDATE 1-Lloyds to cut 945 jobs as part of 3-year restructuring plan,cut 945 jobs as part of 3year restructuring plan UPDATE 1-Lloyds to cut 945 jobs as part of 3-year restructuring plan,cut  jobs part year restructuring plan update lloyds cut  jobs part year restructuring plan
Corporate/Strategy,-0.461,Shifts EmergingMarkets Strategy,Standard Chartered,Standard Chartered Shifts Emerging-Markets Strategy After Losses,Shifts EmergingMarkets Strategy Standard Chartered Shifts Emerging-Markets Strategy After Losses,shifts emergingmarkets strategy standard chartered shifts emergingmarkets strategy losses
Corporate/Appointment,0.393,Tagrisso Gets FDA Approval,AstraZeneca,AstraZeneca's Lung Cancer Drug Tagrisso Gets FDA Approval,Tagrisso Gets FDA Approval AstraZeneca's Lung Cancer Drug Tagrisso Gets FDA Approval,tagrisso gets fda approval astrazenecas lung cancer drug tagrisso gets fda approval
Stock/Price Action,0.526,share price rises as first half profi,Severn Trent,Severn Trent share price rises as first half profit inches up as customer ...,share price rises as first half profi Severn Trent share price rises as first half profit inches up as customer ...,share price rises first half profi severn trent share price rises first half profit inches customer
Corporate/Legal,0.037,as sole legal seller of Libyan oil,Glencore,Glencore sees Tripoli-based NOC as sole legal seller of Libyan oil,as sole legal seller of Libyan oil Glencore sees Tripoli-based NOC as sole legal seller of Libyan oil,sole legal seller libyan oil glencore sees tripolibased noc sole legal seller libyan oil
Corporate/Strategy/Reorganization,-0.532,as part of threeyear restructuring strategy,Lloyds,Lloyds to cut 945 jobs as part of three-year restructuring strategy,as part of threeyear restructuring strategy Lloyds to cut 945 jobs as part of three-year restructuring strategy,part threeyear restructuring strategy lloyds cut  jobs part threeyear restructuring strategy
Corporate/M&A/M&A,0.593,to Buy ZS Pharma for 2.7 Billion,ZS Pharma,AstraZeneca to Buy ZS Pharma for $2.7 Billion,to Buy ZS Pharma for 2.7 Billion AstraZeneca to Buy ZS Pharma for $2.7 Billion,buy zs pharma billion astrazeneca buy zs pharma billion
Corporate/Company Communication,0.166,in email says supports,Valeant,"Ackman, in email, says supports Valeant CEO Pearson","in email says supports Ackman, in email, says supports Valeant CEO Pearson",email says supports ackman email says supports valeant ceo pearson
Corporate/M&A/M&A,0.326,sells US drug rights to Perrigo for 380 mln,Perrigo,AstraZeneca sells US drug rights to Perrigo for $380 mln,sells US drug rights to Perrigo for 380 mln AstraZeneca sells US drug rights to Perrigo for $380 mln,sells us drug rights perrigo mln astrazeneca sells us drug rights perrigo mln
Corporate/M&A/M&A,0.468,AstraZeneca buys ZS Pharma for 2.7 billion pips Actelion,ZS Pharma,"UPDATE 1-AstraZeneca buys ZS Pharma for $2.7 billion, pips Actelion","AstraZeneca buys ZS Pharma for 2.7 billion pips Actelion UPDATE 1-AstraZeneca buys ZS Pharma for $2.7 billion, pips Actelion",astrazeneca buys zs pharma billion pips actelion update astrazeneca buys zs pharma billion pips actelion
Corporate/M&A/M&A,0.402,Shire to buy Dyax for about 5.9 bln,Shire,CORRECTED-Shire to buy Dyax for about $5.9 bln,Shire to buy Dyax for about 5.9 bln CORRECTED-Shire to buy Dyax for about $5.9 bln,shire buy dyax bln correctedshire buy dyax bln
Corporate/Appointment,0.077,poised to replace Sir Mike Rake as he heads for exit,Barclays,Barclays poised to replace Sir Mike Rake as he heads for exit,poised to replace Sir Mike Rake as he heads for exit Barclays poised to replace Sir Mike Rake as he heads for exit,poised replace sir mike rake heads exit barclays poised replace sir mike rake heads exit
Corporate/M&A/M&A,0.52,AstraZeneca Acquires ZS Pharma in 2.7 Billion Deal,ZS Pharma,AstraZeneca Acquires ZS Pharma in $2.7 Billion Deal,AstraZeneca Acquires ZS Pharma in 2.7 Billion Deal AstraZeneca Acquires ZS Pharma in $2.7 Billion Deal,astrazeneca acquires zs pharma billion deal astrazeneca acquires zs pharma billion deal
Stock/Price Action/Bullish,0.64,shares climb 3 as drug maker ups profits forecasts,AstraZeneca,AstraZeneca shares climb 3% as drug maker ups profits forecasts,shares climb 3 as drug maker ups profits forecasts AstraZeneca shares climb 3% as drug maker ups profits forecasts,shares climb  drug maker ups profits forecasts astrazeneca shares climb  drug maker ups profits forecasts
Corporate/Sales/Sales,0.551,Peroni and Grolsch put up for sale as ,SABMiller,Peroni and Grolsch put up for sale as AB InBev plans acquisition of SABMiller,Peroni and Grolsch put up for sale as  Peroni and Grolsch put up for sale as AB InBev plans acquisition of SABMiller,peroni grolsch put sale peroni grolsch put sale ab inbev plans acquisition sabmiller
Corporate/Risks,0.165,expects resilient demand to withstand security fears,easyJet,easyJet expects resilient demand to withstand security fears,expects resilient demand to withstand security fears easyJet expects resilient demand to withstand security fears,expects resilient demand withstand security fears easyjet expects resilient demand withstand security fears
Stock/Price Action/Future Price/Direction,0.634,says positive for year ahead,Compass Group,Compass Group says positive for year ahead,says positive for year ahead Compass Group says positive for year ahead,says positive year ahead compass group says positive year ahead
Corporate/Dividend Policy/Dividend/Dividend going up,0.401,Lifts Dividend Again As Acquisitions Continue To Boost Profit,Bunzl,Bunzl Lifts Dividend Again As Acquisitions Continue To Boost Profits,Lifts Dividend Again As Acquisitions Continue To Boost Profit Bunzl Lifts Dividend Again As Acquisitions Continue To Boost Profits,lifts dividend acquisitions continue boost profit bunzl lifts dividend acquisitions continue boost profits
Corporate/Sales/Sales,-0.582,wipes out sales gains for SABMiller,SABMiller,US dollar wipes out sales gains for SABMiller,wipes out sales gains for SABMiller US dollar wipes out sales gains for SABMiller,wipes sales gains sabmiller us dollar wipes sales gains sabmiller
Corporate/Sales/Sales,0.043, underlying sales rise,SABMiller,"UPDATE 1-SABMiller 2nd-quarter underlying sales rise, forex impacts margins"," underlying sales rise UPDATE 1-SABMiller 2nd-quarter underlying sales rise, forex impacts margins",underlying sales rise update sabmiller ndquarter underlying sales rise forex impacts margins
Corporate/Sales/Sales,0.429,lift SABMillers quarterly underlying sales,SABMiller,UPDATE 2-Pricey beers lift SABMiller's quarterly underlying sales,lift SABMillers quarterly underlying sales UPDATE 2-Pricey beers lift SABMiller's quarterly underlying sales,lift sabmillers quarterly underlying sales update pricey beers lift sabmillers quarterly underlying sales
Corporate/Company Communication,-0.381,Heed Critics After Painful Experience,Valeant,Valeant CEO Pledges to Heed Critics After `Painful' Experience,Heed Critics After Painful Experience Valeant CEO Pledges to Heed Critics After `Painful' Experience,heed critics painful experience valeant ceo pledges heed critics painful experience
Corporate/Company Communication,0.324,No real aspect,Aviva,"Are Aviva plc, Direct Line Insurance Group PLC And Admiral Group plc Set To Soar?","No real aspect Are Aviva plc, Direct Line Insurance Group PLC And Admiral Group plc Set To Soar?",real aspect aviva plc direct line insurance group plc admiral group plc set soar
Economy/Central Banks,-0.738,RBS struggle in Bank of England stress tests,RBS,StanChart and RBS struggle in Bank of England stress tests,RBS struggle in Bank of England stress tests StanChart and RBS struggle in Bank of England stress tests,rbs struggle bank england stress tests stanchart rbs struggle bank england stress tests
